SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5511 5th Ave NE,Seattle,WA,98105,549500,2,1.0,Green Lake,1650,2700,1941,1,333,,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/5511-5th-Ave-NE-98105/home/304456,NWMLS,1225056,N,Y,47.6690381,-122.3231052
MLS Listing,,Single Family Residential,4754 35th Ave NE,Seattle,WA,98105,719950,3,1.75,Bryant,2000,4128,1945,1,360,,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/4754-35th-Ave-NE-98105/home/313514,NWMLS,1239467,N,Y,47.664208,-122.289883
MLS Listing,,Single Family Residential,645 NW 79th St,Seattle,WA,98117,989888,3,2.5,Greenwood,1840,3399,1932,1,538,,Active,February-3-2018 02:30 PM,February-3-2018 05:00 PM,http://www.redfin.com/WA/Seattle/645-NW-79th-St-98117/home/495069,NWMLS,1238239,N,Y,47.6860279,-122.3653243
MLS Listing,,Condo/Co-op,413 NE 70th St #324,Seattle,WA,98115,522000,1,1.0,Green Lake,742,,2007,1,704,427,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/413-NE-70th-St-98115/unit-324/home/17383052,NWMLS,1239254,N,Y,47.6790352,-122.3238836
MLS Listing,,Single Family Residential,308 NW 79th St,Seattle,WA,98117,775000,3,1.75,Ballard,1920,3860,1920,1,404,,Active,January-31-2018 12:00 PM,January-31-2018 02:00 PM,http://www.redfin.com/WA/Seattle/308-NW-79th-St-98117/home/498544,NWMLS,1238808,N,Y,47.6863975,-122.3611606
MLS Listing,,Single Family Residential,7725 35th Ave SW,Seattle,WA,98126,574950,3,2.5,West Seattle,1580,6536,1948,1,364,,Active,,,http://www.redfin.com/WA/Seattle/7725-35th-Ave-SW-98126/home/470119,NWMLS,1238986,N,Y,47.5325805,-122.3769542
MLS Listing,,Single Family Residential,1516 31st Ave,Seattle,WA,98122,865555,2,1.75,Madrona,1840,5000,1961,1,470,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/1516-31st-Ave-98122/home/148349,NWMLS,1236361,N,Y,47.6146442,-122.2921172
MLS Listing,,Townhouse,4725 35th Ave S,Seattle,WA,98118,789000,3,2.5,Columbia City,1768,2089,2017,1,446,,Active,,,http://www.redfin.com/WA/Seattle/4725-35th-Ave-S-98118/home/143320706,NWMLS,1239536,N,Y,47.5597465,-122.2888217
MLS Listing,,Condo/Co-op,200 17th Ave E #307,Seattle,WA,98112,500000,1,1.0,Capitol Hill,763,9599,1929,1,655,551,Active,February-1-2018 12:00 PM,February-1-2018 02:00 PM,http://www.redfin.com/WA/Seattle/200-17th-Ave-E-98112/unit-307/home/2079090,NWMLS,1239477,N,Y,47.6197897,-122.3098493
MLS Listing,,Townhouse,2615 E John St,Seattle,WA,98112,895000,2,2.5,Madison Valley,1452,1021,2018,1,616,,Active,,,http://www.redfin.com/WA/Seattle/2615-E-John-St-98112/home/144728668,NWMLS,1239434,N,Y,47.6201977,-122.2980312
MLS Listing,,Condo/Co-op,2415 2nd Ave #440,Seattle,WA,98121,524000,1,1.0,Belltown,549,,1994,1,954,368,Active,,,http://www.redfin.com/WA/Seattle/2415-2nd-Ave-98121/unit-440/home/28802,NWMLS,1239123,N,Y,47.6148461,-122.3475339
MLS Listing,,Vacant Land,E Marginal Wy S,Seattle,WA,98108,574500,0,,Georgetown,,3584,,1,,,Active,,,http://www.redfin.com/WA/Seattle/E-Marginal-Way-S-98108/home/143797379,NWMLS,1239391,N,Y,47.548078,-122.33391
MLS Listing,,Single Family Residential,9450 15th Ave SW,Seattle,WA,98106,450000,6,2.0,Highland Park,2152,2353,1925,1,209,,Active,February-3-2018 12:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/9450-15th-Ave-SW-98106/home/475072,NWMLS,1239014,N,Y,47.517727,-122.35354
MLS Listing,,Single Family Residential,834 NE 81st St,Seattle,WA,98115,575000,2,1.0,Maple Leaf,1790,3774,1926,1,321,,Active,,,http://www.redfin.com/WA/Seattle/834-NE-81st-St-98115/home/108936,NWMLS,1238943,N,Y,47.6876592,-122.318713
MLS Listing,,Single Family Residential,8851 Stone Ave N,Seattle,WA,98103,528950,3,1.5,Green Lake,1140,2015,1915,1,464,,Active,February-3-2018 01:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/8851-Stone-Ave-N-98103/home/105402,NWMLS,1238199,N,Y,47.6938881,-122.3419046
MLS Listing,,Single Family Residential,2000 28 Ave S,Seattle,WA,98144,827000,3,2.25,Mt Baker,1470,6000,1984,1,563,,Active,,,http://www.redfin.com/WA/Seattle/2000-28th-Ave-S-98144/home/170943,NWMLS,1229197,N,Y,47.5853007,-122.2961375
MLS Listing,,Townhouse,9135 23rd Ave NE Unit B,Seattle,WA,98115,765000,3,3.5,Wedgwood,2004,2520,2005,1,382,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/9135-23rd-Ave-NE-98115/unit-B/home/109471687,NWMLS,1229058,N,Y,47.695388,-122.3048797
MLS Listing,,Townhouse,13718 Midvale Ave N Unit A,Seattle,WA,98133,524950,3,2.25,Haller Lake,1510,1245,2007,1,348,,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/13718-Midvale-Ave-N-98133/unit-A/home/18658462,NWMLS,1237969,N,Y,47.729359,-122.343167
MLS Listing,,Single Family Residential,8853 Stone Ave N,Seattle,WA,98103,789950,3,2.75,Green Lake,1670,1596,2018,1,473,,Active,February-3-2018 01:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/8853-Stone-Ave-N-98103/home/144791116,NWMLS,1238801,N,Y,47.6938025,-122.3413277
MLS Listing,,Single Family Residential,5222 39th Ave NE,Seattle,WA,98105,949950,4,2.5,Bryant,1930,4000,1926,1,492,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/5222-39th-Ave-NE-98105/home/314180,NWMLS,1236990,N,Y,47.6676023,-122.2854455
MLS Listing,,Vacant Land,2020 NE 85th St,Seattle,WA,98115,1300000,0,,Maple Leaf,,5940,,1,,,Active,,,http://www.redfin.com/WA/Seattle/2020-NE-85th-St-98115/home/2083224,NWMLS,1238898,N,Y,47.6905187,-122.3058626
MLS Listing,,Vacant Land,2024 NE 85th St,Seattle,WA,98115,1500000,0,,Maple Leaf,,5940,,1,,,Active,,,http://www.redfin.com/WA/Seattle/2024-NE-85th-St-98115/home/2084833,NWMLS,1239329,N,Y,47.6905198,-122.3056771
MLS Listing,,Vacant Land,2100 2106 NE 85th St,Seattle,WA,98115,2600000,0,,Maple Leaf,,11880,,1,,,Active,,,http://www.redfin.com/WA/Seattle/2106-NE-85th-St-98115/home/2086640,NWMLS,1239338,N,Y,47.6905116,-122.3053106
MLS Listing,,Multi-Family (2-4 Unit),13733 35th Ave NE,Seattle,WA,98125,715000,6,3.0,Lake City,2600,5400,1958,1,275,,Active,,,http://www.redfin.com/WA/Seattle/13733-35th-Ave-NE-98125/home/111962,NWMLS,1239308,N,Y,47.729281,-122.291281
MLS Listing,,Condo/Co-op,840 NE 125th St #305,Seattle,WA,98125,339950,2,2.0,Pinehurst,857,23182,1988,1,397,480,Active,,,http://www.redfin.com/WA/Seattle/840-NE-125th-St-98125/unit-305/home/12537588,NWMLS,1238778,N,Y,47.7197022,-122.3187903
MLS Listing,,Single Family Residential,9013 37th Ave SW,Seattle,WA,98126,950000,4,2.5,Gatewood,2460,6297,1951,1,386,,Active,February-1-2018 04:00 PM,February-1-2018 06:30 PM,http://www.redfin.com/WA/Seattle/9013-37th-Ave-SW-98126/home/469006,NWMLS,1234596,N,Y,47.522469,-122.3797016
MLS Listing,,Single Family Residential,9037 Burke Ave N,Seattle,WA,98103,1095000,5,2.5,Green Lake,2530,3371,2018,1,433,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/9037-Burke-Ave-N-98103/home/144790505,NWMLS,1238957,N,Y,47.6952755,-122.3351306
MLS Listing,,Single Family Residential,8425 18th Ave SW,Seattle,WA,98106,459000,3,1.0,Highland Park,880,5160,1970,2,522,,Active,February-2-2018 02:00 PM,February-2-2018 04:00 PM,http://www.redfin.com/WA/Seattle/8425-18th-Ave-SW-98106/home/474891,NWMLS,1238831,N,Y,47.5275098,-122.3580884
MLS Listing,,Single Family Residential,10528 3rd Ave NW,Seattle,WA,98177,450000,1,0.75,Broadview,520,10000,1930,2,865,,Active,February-2-2018 05:00 PM,February-2-2018 07:00 PM,http://www.redfin.com/WA/Seattle/10528-3rd-Ave-NW-98177/home/96564,NWMLS,1236905,N,Y,47.7060158,-122.360217
MLS Listing,,Condo/Co-op,5615 24th Ave NW #53,Seattle,WA,98107,495000,1,1.0,Ballard,724,,2006,2,684,418,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/5615-24th-Ave-NW-98107/unit-53/home/12093666,NWMLS,1234235,N,Y,47.6700686,-122.3879618
MLS Listing,,Townhouse,3030 61st Ave SW,Seattle,WA,98116,700000,3,2.5,Alki,1698,1312,2010,2,412,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/3030-61st-Ave-SW-98116/home/28540382,NWMLS,1236396,N,Y,47.576753,-122.4104472
MLS Listing,,Townhouse,7526 43rd Ave S Unit B & C,Seattle,WA,98118,1299000,6,6.0,Seattle,3240,3124,2014,2,401,130,Active,,,http://www.redfin.com/WA/Seattle/7526-43rd-Ave-S-98118/unit-B-C/home/101607058,NWMLS,1237530,N,Y,47.534415,-122.278603
MLS Listing,,Single Family Residential,3401 York Rd S,Seattle,WA,98144,789000,4,3.0,Mt Baker,1633,2680,1999,2,483,,Active,February-1-2018 11:30 AM,February-1-2018 01:30 PM,http://www.redfin.com/WA/Seattle/3401-York-Rd-S-98144/home/171772,NWMLS,1237894,N,Y,47.5723226,-122.2871199
MLS Listing,,Single Family Residential,6230 54th Ave NE,Seattle,WA,98115,1050000,4,1.25,Hawthorne Hills,2270,6010,1954,2,463,,Active,January-31-2018 10:00 AM,January-31-2018 12:00 PM,http://www.redfin.com/WA/Seattle/6230-54th-Ave-NE-98115/home/320594,NWMLS,1238043,N,Y,47.6742684,-122.2690741
MLS Listing,,Condo/Co-op,3028 Western Ave #115,Seattle,WA,98121,375000,0,1.0,Belltown,450,14417,1991,3,833,294,Active,,,http://www.redfin.com/WA/Seattle/3028-Western-Ave-98121/unit-115/home/29681,NWMLS,1237607,N,Y,47.6178211,-122.3554706
MLS Listing,,Single Family Residential,2819 W Elmore Place,Seattle,WA,98199,1325000,4,2.75,Magnolia,2163,4725,1947,3,613,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/2819-W-Elmore-Pl-98199/home/123090,NWMLS,1237980,N,Y,47.656986,-122.3937447
MLS Listing,,Condo/Co-op,408 Bellevue Ave E #101,Seattle,WA,98102,388000,1,1.0,Capitol Hill,700,,1929,4,554,658,Active,February-1-2018 11:00 AM,February-1-2018 01:00 PM,http://www.redfin.com/WA/Seattle/408-Bellevue-Ave-E-98102/unit-101/home/144780795,NWMLS,1238672,N,Y,47.6223217,-122.3262297
MLS Listing,,Townhouse,3012 60th Ave SW Unit A,Seattle,WA,98116,630000,2,2.5,Alki,1540,1294,2008,4,409,,Active,,,http://www.redfin.com/WA/Seattle/3012-60th-Ave-SW-98116/unit-A/home/18659401,NWMLS,1238585,N,Y,47.5773063,-122.408891
MLS Listing,,Condo/Co-op,603 13th Ave E #2000,Seattle,WA,98102,450000,1,1.0,Capitol Hill,712,7413,1959,4,632,377,Active,February-3-2018 01:00 AM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/603-13th-Ave-E-98102/unit-2000/home/12029,NWMLS,1238626,N,Y,47.6244332,-122.3160169
MLS Listing,,Single Family Residential,1235 NE 88th St Unit B,Seattle,WA,98115,1095000,3,2.25,Maple Leaf,2445,5001,2018,4,448,,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/1235-NE-88th-St-98115/unit-B/home/144767952,NWMLS,1236351,N,Y,47.69203,-122.3133201
MLS Listing,,Single Family Residential,223 W McGraw St,Seattle,WA,98119,1400000,3,1.75,Queen Anne,2680,2360,1916,4,522,,Active,,,http://www.redfin.com/WA/Seattle/223-W-McGraw-St-98119/home/133651,NWMLS,1238584,N,Y,47.6393969,-122.3607269
MLS Listing,,Single Family Residential,8837 17th Ave SW,Seattle,WA,98106,549950,2,1.0,West Seattle,1000,5132,1928,4,550,,Active,,,http://www.redfin.com/WA/Seattle/8837-17th-Ave-SW-98106/home/475487,NWMLS,1238560,N,Y,47.5235802,-122.3567816
MLS Listing,,Condo/Co-op,900 Lenora St Unit W209,Seattle,WA,98121,599000,1,1.0,Downtown,898,,2006,4,667,840,Active,January-31-2018 06:00 PM,January-31-2018 07:30 PM,http://www.redfin.com/WA/Seattle/900-Lenora-St-98121/unit-W-209/home/79034070,NWMLS,1238511,N,Y,47.6177552,-122.337607
MLS Listing,,Townhouse,1926 Ferry Ave SW,Seattle,WA,98116,888500,3,2.25,North Admiral,1727,1926,2018,4,514,,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/1926-Ferry-Ave-SW-98116/home/144776986,NWMLS,1237983,N,Y,47.586293,-122.3860184
MLS Listing,,Townhouse,8775 Phinney Ave N,Seattle,WA,98103,839950,3,1.75,Greenwood,1552,808,2018,4,541,,Active,,,http://www.redfin.com/WA/Seattle/8775-Phinney-Ave-N-98103/home/144776761,NWMLS,1238331,N,Y,47.6940965,-122.3539567
MLS Listing,,Single Family Residential,14020 Courtland Place N,Seattle,WA,98133,479950,3,1.5,Seattle,1320,2625,1985,4,364,,Active,,,http://www.redfin.com/WA/Seattle/14020-Courtland-Pl-N-98133/home/102816,NWMLS,1236983,N,Y,47.7311383,-122.3377178
MLS Listing,,Single Family Residential,6357 36th Ave SW,Seattle,WA,98126,799950,4,2.25,Gatewood,1980,7763,1911,5,404,,Active,February-3-2018 02:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/6357-36th-Ave-SW-98126/home/471090,NWMLS,1237941,N,Y,47.5448804,-122.3780548
MLS Listing,,Condo/Co-op,5450 Leary Ave NW #540,Seattle,WA,98107,498000,1,1.0,Ballard,717,27583,2007,5,695,327,Active,January-31-2018 11:00 AM,January-31-2018 01:30 PM,http://www.redfin.com/WA/Seattle/5450-Leary-Ave-NW-98107/unit-540/home/17381733,NWMLS,1238222,N,Y,47.668056,-122.3831914
MLS Listing,,Single Family Residential,4010 21st Ave SW,Seattle,WA,98106,550000,2,1.0,Pigeon Point,1120,13700,1918,5,491,,Active,,,http://www.redfin.com/WA/Seattle/4010-21st-Ave-SW-98106/home/160542,NWMLS,1238225,N,Y,47.5679286,-122.3598085
MLS Listing,,Single Family Residential,2524 9th Ave W,Seattle,WA,98119,629950,2,1.0,Queen Anne,1060,3600,1906,5,594,,Active,,,http://www.redfin.com/WA/Seattle/2524-9th-Ave-W-98119/home/129656,NWMLS,1237026,N,Y,47.6414763,-122.3686227
MLS Listing,,Condo/Co-op,2929 1st Ave #622,Seattle,WA,98121,900000,2,1.75,Belltown,1124,26160,2000,5,801,837,Active,,,http://www.redfin.com/WA/Seattle/2929-1st-Ave-98121/unit-622/home/30777,NWMLS,1238466,N,Y,47.6172885,-122.3536187
MLS Listing,,Condo/Co-op,3314 NE 65th St #105,Seattle,WA,98115,601990,1,1.5,Bryant,962,,2017,5,626,484,Active,,,http://www.redfin.com/WA/Seattle/3314-NE-65th-St-98115/unit-105/home/144771722,NWMLS,1238471,N,Y,47.675784,-122.2921232
